"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent","market_cap_as_factor"
"68","SFR.AX","Sandfire Resources Limited","Sandfire Resources Limited, formerly Sandfire Resources NL, is an Australia-based mining and exploration company. The Company’s flagship DeGrussa Copper-Gold Mine is located approximately 900 kilometer (km) north-east of Perth in Western Australia. The DeGrussa Project produces copper concentrate and copper grade with notable gold and silver credits. It also holds the T3 Copper-Silver Project, which is a copper exploration and development assets in Botswana. T3 Copper-Silver Project covers approximately 11,700 km square in the Kalahari Copper Belt. Through joint ventures and farm-in agreements, it also holds various projects, such as Greater Doolgunna Project, Morck Well Project, Peak Hill Project, Enterprise Project, Bryah Project, Springfield Project and Cheroona Project.",2021-02-12,5,5.98,2.75,4.85,0,1210225,12.17,930.47,1.24,1.94,1.63,1.66,4.2,629.85,166.84,139.8,178.25,8.63,3.73,11.27,19.02,7.8,10.67,"8"
"69","SAR.AX","Saracen Mineral Holdings",NA,2021-02-12,4.69,6.75,2.82,5.34,0,8789126,21.71,5173,3.04,9.78,0.38,23.27,1.54,5170,1060,177.61,1110,4.61,0,19.04,31.17,46.8,15.42,"10"
"70","SLR.AX","Silver Lake Resources","Silver Lake Resources Limited is a gold producing and exploration company. The Company's principal activities include gold mining and processing from the Mount Monger Operation, gold exploration and evaluation projects. The Company’s segments include Mount Monger Operation and Deflector Operation. The Company’s segments are located in Western Australia, with the Mount Monger Operation producing gold bullion, and Deflector producing gold bullion and gold-copper concentrate. The Company has approximately five mines and two processing facilities in operation across its Deflector and Mount Monger operations. The Mount Monger Operation is located approximately 50 kilometers (km) southeast of Kalgoorlie. Gold ore from the Mount Monger Operation is transported to the Randalls Gold Processing Facility, located over 65 km south east of Kalgoorlie.",2021-02-12,1.52,2.75,1.04,2.11,0,6872604,4.9,1331,1.67,4.56,0.29,6.69,0.9,1120,870.04,99.25,881.57,0.61,0,45.59,24.36,67.7,40.46,"8"
"71","SGM.AX","Sims Limited","Sims Limited, formerly Sims Metal Management Limited is a metals and electronics recycler. The Company is engaged in the buying, processing and selling of ferrous and non-ferrous recycled metals and the provision of solutions for the disposal of post-consumer electronic products, including information technology (IT) assets recycled for commercial customers. The Company operates through four segments: North America Metals, Australia/New Zealand (ANZ) Metals, Europe Metals and Global E-Recycling. The Company's product groups include ferrous secondary recycling, non-ferrous secondary recycling, recycling solutions, and secondary processing and other services. Its ferrous secondary recycling includes the collection, processing and trading of iron and steel secondary raw material. Its non-ferrous secondary recycling includes the collection, processing and trading of other metal alloys and residues, principally aluminum, lead, copper, zinc and nickel bearing materials.",2021-02-12,12.55,14.5,5.52,10.12,0,890946,0,2770,1.39,-51.59,1.21,24.23,9.86,2810,166.21,-143.2,201.47,17.1,0.47,-5.39,-3.87,-33.5,-12.39,"9"
"72","S32.AX","South32","South32 Ltd is an Australia-based company focused on developing natural resources. The Company’s segments include Worsley Alumina, focused on integrated bauxite mine and alumina refinery in Western Australia, Australia; Hillside Aluminium, which operates as an Aluminium smelter in South Africa; Mozal Aluminium, which operates as an Aluminium smelter in Mozambique; Brazil Alumina, which operates an Alumina refinery in Brazil; South Africa Energy Coal, which operates open-cut and underground energy coal mines and has processing operations in South Africa; Illawarra Metallurgical Coal, which operates uderground metallurgical coal mines in New South Wales, Australia; Eagle Downs Metallurgical Coal engaged in exploration and development of metallurgical coal deposit in Queensland, Australia, and Australia Manganese, which is an integrated producer of manganese ore in the Northern Territory and alloy in Tasmania, Australia.",2021-02-12,2.59,2.82,1.58,2.31,0,17670026,0,12621,1.33,16.22,0.27,10.64,1.98,12190,4630,188.5,4780,0.76,0.81,-1.04,1.29,-19,-0.66,"11"
"73","SSR.AX","SSR Mining Inc","SSR Mining Inc. is a mining company. The Company is focused on the operation, development, exploration and acquisition of precious metal projects. Its segments include Marigold mine, Seabee Gold Operation, Puna Operations and Exloration, evaluation and development properties. The Marigold mine is in Humboldt County, Nevada, United States on the Battle Mountain-Eureka trend. Seabee Gold Operation is in Northern Saskatchewan, Canada approximately 125 kilometers northeast of the town of La Ronge. Its Puna Operations is comprised of the Chinchillas mine and the Pirquitas property, which includes the Pirquitas processing facilities. Puna Operations is located in the Jujuy Province, Argentina. The Chinchillas mine is a silver-lead-zinc deposit. Its operations also include development and explorations projects, such as San Luis and Pitarrilla project, Amisk and Sunrise Lake projects.",2021-02-12,21.12,33.52,20.61,25.66,0,28632,41.87,4679,1.37,20.07,3.41,13.9,15.19,4890,218.62,-53.54,219.47,0,0,9.69,20.87,52.5,2.54,"10"
"74","SBM.AX","St Barbara Limited","St Barbara Ltd is an Australia-based gold mining company. The Company’s assets include the Leonora Operations in Western Australia, the Simberi Operations in Papua New Guinea, and the Atlantic Gold Operations in Nova Scotia, Canada. Leonora Operations include the Gwalia mine, which is located approximately three kilometers (km) south of the town of Leonora, Western Australia. The Simberi Operations occurs on the eastern half of the Simberi island covered by approximately 2,560 hectare Mining Lease (ML136). The Atlantic Gold operation is located in Moose River Gold Mines, near Middle Musquodoboit, approximately 60km north east of Halifax, Nova Scotia. The Gwalia mine has operations with approximately 2.1 million ounces of gold in reserves at a grade of 6.4 grams per ton. Ore at Simberi is sourced from various pits, including the Sorowar Pit. The Atlantic Gold operation has a combined estimated of approximately 1.9 million ounces of gold in reserves at a grade of 1.12 grams per ton.",2021-02-12,2.24,3.98,1.61,2.9,0,4539517,12.64,1622,1.2,4.5,0.58,24.59,1.92,1540,683.58,134.77,705.36,2.48,3.56,15.49,23.02,46.4,9.84,"9"
"75","SL1.AX","Symbol Mining Limited","Symbol Mining Limited is an Australia-based zinc and lead mining and exploration company. The Company is focused on development and commercialization of base metal projects located on the Benue Trough in Nigeria. The Company has 60% interest in two base metal projects: the Imperial Project and the Tawny Project. The Imperial Project is located on the border of Bauchi and Taraba states approximately 420 kilometers east and northeast of Abuja. The Tawny Project is located approximately 150 kilometers east and southeast of Abuja.",2021-02-12,14,14,0.01,13.3,0,0,0,0,0,-0.81,0.71,0,-7.42,4.21,0.23,-4.61,0.36,74.47,0,0,-52300159.38,0,0,"-Inf"
"76","SYR.AX","Syrah Resources","Syrah Resources Limited is a supplier of graphite products. The Company's principal activities include the construction and development of the Balama Graphite Project in Mozambique; development of sales and marketing arrangements with targeted customers; continued assessment of the use of high quality graphite from the Balama Graphite Project as an input into the production of battery anode material and industrial products, and development of downstream, battery anode material strategy. It operates through two segments: Balama and Corporate. The Balama segment is engaged in mining, mineral exploration, evaluation and development activities associated with the Balama graphite project in Mozambique. The Corporate segment is engaged in corporate administration and investing activities, including development of the Company's battery anode material strategy.",2021-02-12,1.14,1.38,0.15,0.65,0,5080844,0,528.93,1.63,-9.91,0.13,18.06,0.78,533.8,370.44,-35.81,477.09,11.2,0,-237.52,-356.47,-84.1,-22.11,"7"
"77","TLG.AX","Talga Group Ltd","Talga Group Ltd, formerly Talga Resources Ltd, is engaged in graphite exploration and development, including trial mining, in Sweden and graphite/graphene research and development through its pilot plant test facility in Germany. The Company operates through three segments: graphite exploration and development in Sweden; gold exploration and evaluation in Australia, and graphite/graphene research and development in Germany. Its graphite projects include Vittangi, Raitajarvi, Pitea, Jalkunen and Pajala. It owns over two iron ore projects, Masugnsbyn and Vittangi, located in Norrbotten County, north Sweden. It owns approximately four gold exploration projects in Western Australia. Its three gold projects, including Talga Talga, Warrawoona and Mosquito Creek projects are located in the East Pilbara gold region, near the towns of Marble Bar and Nullagine.",2021-02-12,1.51,2.15,0.17,1.16,0,1934257,0,470.01,51.67,-33.15,0.02,2.86,0.03,415.08,221.16,-7.02,303.23,22.35,0,0,-138647.72,-95.4,-160.36,"7"
"78","TBR.AX","Tribune Resources","Tribune Resources Limited is an Australia-based company engaged in the development of exploration, development and production activities at its East Kundana Joint Venture (EKJV) tenements. The Company's EKJV is located approximately 20 kilometers west northwest of Kalgoorlie and approximately 50 kilometers northeast of Coolgardie. Its Japa Concession is located in the Western Region of Ghana, approximately 110 kilometers southwest of Kumasi and approximately 50 kilometers north of Tarkwa, and the concession covers approximately 27.52 square kilometers within the Akropong Belt within the Birimian Supergroup that hosts the Ashanti type lode-gold deposits of West Africa. The Company also operates West Kundana Joint Venture, Mt Celia Project and Seven Mile Hill in Western Australia. The Company's subsidiaries include Tribune Resources (Ghana) Limited, Mount Manning Resources Limited, Melville Parade Pty Ltd and Rand Mining Limited.",2021-02-12,5.79,8.87,4.45,6.97,0,12108,6.49,296.97,1.37,3.21,0.27,2.85,4.14,340.6,10.14,-18.12,52.47,81.2,3.51,26.72,42.55,0,18.97,"7"
"79","VUL.AX","Vulcan Energy Resources Limited",NA,2021-02-12,7.37,14.2,0.15,2.13,0,1342320,0,799.53,56.36,-186.45,0.09,0,0.13,520.59,45.3,-0.99,107.46,38.53,0,0,-3228.5,70.1,-56.05,"8"
"80","WGN.AX","Wagners Holding Company","Wagners Holding Company Limited is an Australia-based cement manufacturer and supplier. The Company provides construction materials. It operates through two segments: Construction Materials and Services (CMS) and New Generation Building Materials (NGBM). CMS supplies a range of construction materials and services to customers in the construction, infrastructure and resources industries. Its products include cement, fly ash, aggregates, ready-mix concrete, precast concrete products and reinforcing steel. The services which CMS provides include project-specific mobile and onsite concrete batching, contract crushing and haulage services. NGBM provides building products and construction materials through its composite fiber technologies (CFT) and earth friendly concrete (EFC) businesses. The Company also offers global services, which includes mobile concrete and aggregate production, quarries, transport, materials handling, project consulting, and the supply of plant, equipment and labor.",2021-02-12,1.8,2.19,0.57,1.45,0,168192,0,335.08,3.27,23.29,0.02,181.52,0.55,517.53,70.81,-26.1,187.2,65.82,0,-0.01,3.23,12.6,-0.02,"7"
"81","WSA.AX","Western Areas Ltd","Western Areas Limited is an Australia-based mining company. The Company's principal activities include mining, processing and sale of nickel sulfide concentrate, the continued assessment of development feasibility of the high-grade nickel mines, and the exploration for nickel sulfides, other base metals and platinum group metals. The Company has nickel production assets in Australia and base metals development projects across Australia, Canada and Finland. The Company's Forrestania project includes two nickel mines, Flying Fox and Spotted Quoll; the Cosmic Boy Concentrator, which treats the ore and produces nickel concentrate for sale; a regional tenement package, and site infrastructure.",2021-02-12,2.45,3.1,1.62,2.4,0,2763490,22.52,712.42,1.35,4.72,0.53,0.72,1.92,544.04,263.36,-5.17,275.07,3.74,0.8,10.33,13,4.9,6.2,"8"
"82","WGX.AX","Westgold Resources Limited","Westgold Resources Limited is engaged in exploration of minerals. The principal activity of the Company is operating gold mines in Australia. The Company’s projects include Central Murchison Gold Project (CMGP), South Kalgoorlie Operations (SKO), Fortnum Gold Project (FGP), Tuckabianna Project and Rover Project. The CMGP is located in the Murchison Goldfields of Western Australia around the regional towns of Cue and Meekatharra. SKO includes the HBJ underground mine, a number of open pits and the Jubilee Mill. The FGP is located in the western Bryah Basin approximately 150 kilometers northwest of Meekatharra with approximately 1 million tone-per-annum carbon-in-leach (CIL). The Rover Project is a postulated undercover repetition of the prolific Tennant Creek goldfield located 80 kilometers to the north-east.",2021-02-12,2,2.98,1.21,2.47,0,2715103,24.19,881.62,1.67,5.03,0.33,7.25,1.24,774.34,360.06,-36.07,423.86,9.42,0,7.03,4.32,0,7.17,"8"
"83","WMX.AX","Wiluna Mining Corporation Limited","Wiluna Mining Corporation Limited, formerly Blackham Resources Limited, is engaged in mineral exploration and development. The Company is engaged in Western Australian exploration activities. The Company is engaged in open pit mining and underground mine development at the Matilda Gold Project, and intends to produce gold bar from its approximately 1.7 Metric Tons Per Annum (Mtpa) Wiluna gold plant. The Matilda Gold Project incorporates over 780 square kilometers of tenements, including Regent and the Matilda and Williamson Gold Mines. These tenements cover approximately 45 kilometers of strike along the Wiluna Mine Sequence and approximately 10 kilometers of strike along the Coles Find Sequence. The Williamson deposit is situated on the Wiluna Mine Sequence covering approximately six kilometers of strike with multiple mineralized structures. Williamson is approximately 26 kilometers to the Wiluna Gold Plant and over 10 kilometers from the Matilda Mine by haul roads.",2021-02-12,1.3,2.3,0.7,0,0,0,5.46,131.37,0.95,7.05,0.09,7.74,1.38,135.93,67.28,-48.45,117.25,39.86,0,11.26,-3.88,26.1,14.2,"6"
"84","ZIM.AX","Zimplats Holdings","Zimplats Holdings Limited is engaged in the business of producing platinum group metals (PGMs) and associated metals, which include nickel, gold, copper, cobalt and silver mined from the Great Dyke in Zimbabwe. Its segments include Platinum, Palladium, Gold, Rhodium, Nickel, Ruthenium, Iridium, Silver, Copper and Cobalt. The Company, through its subsidiary Zimbabwe Platinum Mines (Private) Limited, a producer of PGMs, is engaged in exploiting the ore bodies located on the Great Dyke in Zimbabwe. The Company has a Mineral Resource base of approximately 223.6 million ounces 4E. The Company operates approximately four underground mines and an open pit mine, which supply ore to three concentrator modules (two at Ngezi and the third one at Selous). Three of the four underground mines are operating at full production while the fourth one is under re-development. The Company sells white matte (a concentrate of metals), which consists of platinum, palladium, rhodium, gold and nickel.",2021-02-12,12.5,15.21,6.96,11.04,0,7128,5.12,1340,1.05,2.57,1.34,0.94,11.82,1210,13.09,144.79,107.64,87.84,3.28,30.13,43.74,44.8,22.5,"8"
