"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent"
"271","GSM.AX","Golden State Mining Limited","Golden State Mining Ltd is an Australia-based mineral exploration company. The Company is engaged in exploring for gold and lithium mineralization in Western Australia. Its projects include Cue, Yule and Four Mile Well. Its Cue Project is located adjacent to the historical town of Cue in the Murchison district, approximately 660 kilometer (km) by road northeast of Perth. The Yule Project is located between 35km and 65km southwest of Port Hedland in the Pilbara region of Western Australia and comprises three granted exploration licenses for a total of approximately 435 km square. The Four Mile Well Project is located approximately 10km to the north of Laverton in the Eastern Goldfields and consists of a single 38 block exploration license. The Company’s subsidiaries include Cue Consolidated Mining Pty Ltd and Crown Mining Pty Ltd.",2021-02-12,0.14,0.7,0.06,0.26,0,137071,0,8.21,3.22,-3.65,0.04,0,0.05,5.78,37.27,-0.91,56.64,34.22,0,0,-3676.42,8662,-73.91
"272","GNG.AX","GR Engineering Services","GR Engineering Services Limited is an engineering, consulting and contracting company. The Company's principal activities include the provision of process engineering, design and construction services to the mining and mineral processing industry, and the provision of operations, maintenance and well management services to the oil and the gas sector. Its segments include Mineral Processing, and Oil and Gas. Its services cover all aspects of the project life cycle from the initial evaluation and study phase through to design, construction, commissioning and operational support. The Company carries out all engineering design, including process, civil, structural, mechanical, piping, electrical and instrumentation/control design. It also carries out site structural, mechanical, piping and electrical construction, and installation works. The Company provides services for projects associated with a range of precious and industrial commodities. It operates in Australia and Overseas.",2021-02-12,1.31,1.32,0.6,1.05,0,35047,0,204.8,5.84,-19.16,0.24,21.51,0.23,172.75,52.85,15.83,155.15,61.38,4.78,-3.22,-4.63,42.6,-17.88
"273","GRR.AX","Grange Resources","Grange Resources Limited is an Australia-based company, which owns and operates iron ore mining and pellet production business located in the northwest region of Tasmania. The Company operates through the segment of exploration, evaluation and development of mineral resources and iron ore mining operations. The principal activities of the Company include the mining, processing and sale of iron ore, and the ongoing exploration, evaluation and development of mineral resources particularly, the Southdown Magnetite and associated Pellet Plant Projects. The Southdown Magnetite deposit is located approximately 90 kilometers (km) northeast of Albany on the South coast of Western Australia. Southdown Magnetite and Associated Pellet Project(s) is a joint venture between Grange Resources Limited and SRT Australia Pty Ltd. The joint venture proposes to mine and exports iron ore pellets and concentrates. Its Savage River magnetite iron ore mine is 100 km southwest of the city of Burnie.",2021-02-12,0.37,0.41,0.15,0.27,0,1655059,3.77,462.94,0.79,1.66,0.15,2.67,0.51,301.04,476.93,67.04,1160,58.17,5,26.75,32.36,61.1,22.65
"274","GBR.AX","Great Boulder Resources","Great Boulder Resources Limited is a mineral exploration company, with a primary focus on exploration, discovery and delineation of gold deposits. The Company's Balagundi Project is located approximately 20 kilometers east of the Kalgoorlie Super Pit and the township of Kalgoorlie in the Eastern Goldfields District of Western Australia. Its Broadwood Project is located between the historical Binduli gold mining center and the Golden Mile/Kalgoorlie Super Pit alongside the township of Kalgoorlie. Its Jundee South Project is located east of Wiluna in the Eastern Goldfields district of Western Australia, approximately 10 kilometers along strike from the Jundee Gold Mine operated by Northern Star Resources Limited. Its Tarmoola Project is located over 40 kilometers north-west of Leonora. Its Yamarna project is located approximately 130 kilometers east of Laverton, and over 30 kilometers west of the Gruyere gold deposit in the Eastern Goldfields District of Western Australia.",2021-02-12,0.04,0.1,0.02,0.05,0,609229,0,7.71,0.89,-9.16,0,2.07,0.05,6.74,116.19,-1.29,188.06,36.02,0,0,-3302.37,277.3,-36.94
"275","GNM.AX","Great Northern Minerals Limited","Great Northern Minerals Ltd, formerly Greenpower Energy Ltd, is an Australia-based company focused on exploring battery metals. The Company is focused on exploring and developing lithium, cobalt and vanadium projects. Its projects include the Golden Cup, Camel Creek, Big Rush and Julia Creek Vanadium Projects in Queensland, and the Ashburton Cobalt Project in Western Australia. The Company also owns the Golden Ant Project located in North Queensland. The Julia Creek Project consists of two granted exploration permits covering approximately 270 square kilometers (km). The Ashburton project area is focused on the northern limit of the Proterozoic-aged Collier Basin, around the Talga Fault. Its coals to liquid project-oxidative hydrothermal dissolution (OHD) converts solid biomass into a liquid which then comprises a mixture of organic chemical compounds.",2021-02-12,0.01,0.03,0,0.02,0,3434177,0,11.8,2.6,-2.99,0,3.72,0,7.07,467.18,-0.84,907.92,49.46,0,0,-2670.24,-50.7,-163.31
"276","GSN.AX","Great Southern Mining Limited","Great Southern Mining Ltd is an Australia-based mineral exploration company. The Company if focused on exploring gold and silver in Queensland and Western Australia. Its projects include Johnnycake Project, Edinburgh Park Project, Mt Lucky Project and Cox’s Find Gold Mine project. Johnnycake (EPM 18986) project, which is located approximately 40 kilometers north west of Collinsville, has two prospects within the tenement, such as Sledgehammer and Szarbs. Edinburgh Park Project is located in North Queensland with identified epithermal and porphyry mineralization. Mt Lucky Project is located in Laverton Western Australia and comprises a mining lease M38/1256 granted for a term of 21 years. The Cox’s Find Gold Project is a shear hosted Archaean orogenic gold deposit located in the Duketon Greenstone Belt.",2021-02-12,0.08,0.2,0.03,0.1,0,835700,0,36.4,4,-16.87,0.01,9.66,0.02,30.46,186.54,-2.45,455.02,56.45,0,0,-136218.13,-1.7,-30.52
"277","GTE.AX","Great Western Exploration","Great Western Exploration Limited is an Australia-based mineral exploration company. The Company is engaged in exploring copper, gold and nickel. The Company's segments include Doolgunna Base Metals, Kazakhstan Copper, Forrestania Nickel & Gold, Xstrata Base Metal, Millrose Gold and Other. The Company focuses on its Yerrida Basin projects in the Doolgunna region of Western Australia, which is focusing on copper sulfide, magmatic nickel sulfide and lode gold style of mineralization. Its Yerrida basin consists of approximately 10 exploration licenses for a total of approximately 1,415 square kilometers area. Its Chisel prospect is located approximately 40 kilometers northwest of Wiluna. Its New Springs nickel prospect is located in the Yerrida basin approximately 85 kilometers northwest of the Wiluna. Its Finlayson gold prospect is within the Cunyu joint venture (JV) project, which is located approximately 70 kilometers northwest of the Wiluna gold deposit.",2021-02-12,0.28,0.34,0.03,0.23,0,76705,0,34.86,1.3,-28.11,0,0,0.23,12.13,20.83,-0.47,116.2,60.32,0,0,-9319.34,95.6,-17.61
"278","GGG.AX","Greenland Minerals Limited","Greenland Minerals Ltd, formerly Greenland Minerals and Energy Limited, is an Australia-based exploration and development company. The Company is focused on developing mineral projects in Greenland. The Company’s project is Kvanefjeld Rare Earth Project. The Kvanefjeld Rare Earth Project is centred on the Ilimaussaq Alkaline Complex in southern Greenland. The mineralization in the Kvanefjeld Rare Earth Project is hosted by a rock-type called lujavrite, and is enriched in rare earths, uranium, and zinc.",2021-02-12,0.2,0.36,0.07,0.26,0,3142362,0,248.08,2.34,-61,0.01,0.6,0.08,184.27,976.5,-3.52,1340,18.03,0,0,-2869.44,125.7,-3.48
"279","GTR.AX","GTI Resources","GTI Resources Limited is an Australia-based mineral exploration company. The Company's projects include Henry Mountains Project and Niagara (Kookynie) Gold Project. The Henry Mountains Project has claims located within the Henry Mountains complex on the Colorado Plateau. The Henry Mountains Project has vanadium and uranium mineralization. The Niagara (Kookynie) Gold Project is located approximately six kilometers southwest of Kookynie in the central goldfields of WA. The Niagara (Kookynie) Gold Project comprises granted exploration licenses, including E40/342, P40/1513 and P40/1518 and four prospecting license applications: P40/1506, P40/1515, P40/1516 and P40/1517. It also owns the license P40/1492 (Reach PL), located approximately 15 kilometers northwest of Kookynie.",2021-02-12,0.02,0.05,0,0.02,0,8498046,0,14.18,3.14,-5.47,0,0,0.01,10.12,294.58,-0.74,644.52,35.45,0,0,-9096.97,46.6,-90.87
"280","GMC.AX","Gulf Manganese Corporation Limited","Gulf Manganese Corporation Limited, formerly Gulf Minerals Corporation Limited, is engaged in developing a ferromanganese smelting and sales business to produce carbon ferromanganese alloy in West Timor, Indonesia. The Company's principal activity is the development of an Association of Southeast Asian Nations (ASEAN) focused manganese alloying enterprise based in West Timor. The Company is involved in the exploration for minerals and evaluation of mineral investment opportunities. Its proposed smelting complex will comprise approximately eight furnaces to be built in stages, with a modular design. It focuses on purchase of Indonesian manganese ores at the smelter gate; processing of the ores in the smelter to a ferromanganese alloy, and the sale of ferromanganese alloys.",2021-02-12,0.01,0.01,0,0.01,0,0,0,26.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281","GUL.AX","Gullewa Limited","Gullewa Limited is engaged in exploration, mining and investment in equities and property. The Company's activities cover coal in Queensland, gold and base metals in New South Wales, geothermal in Tasmania, mineral royalties and investment in mineral companies. Its segments include Exploration and evaluation, which is engaged in exploration and evaluation for minerals; Property holding, which is engaged in acquiring investment properties, and Investments, which is engaged in investing in shares in listed and unlisted securities. Its South Darlot Gold Project area is located in over 320 kilometers northwest of Kalgoorlie in Western Australia. Its Eureka gold project is over 50 kilometers north of Kalgoorlie and includes the Eureka open pit gold mine. The Company's tenement package comprising the Eureka gold project covers over 563 hectares. It holds over two iron tenements, which are located in the Yilgarn Iron Ore project. Its Back creek project is located in the Surat Basin.",2021-02-12,0.09,0.15,0.03,0.1,0,35507,6.15,14.59,1.21,5.51,0.03,0,0.07,9.52,43.02,1.16,182.37,77.3,0,82.73,67.93,105,22.39
"282","GWR.AX","GWR Group","GWR Group Limited (GWR) is engaged in the exploration and evaluation of its mining projects in Australia. The Company focuses on the discovery and development of mineral commodities. The Company holds interest in the Hatches Creek Tungsten Project, which is located approximately 375 kilometers northeast of Alice Springs in the Northern Territory. Its Wiluna West Gold Project refers to the gold located on GWR's Wiluna West tenements. Its Wiluna West Iron Ore Project is a direct-shipping ore (DSO) iron ore resource project. The Company holds interest in Tungsten Mining NL, which focuses on the development and exploitation of tungsten deposits, in particular, the Kilba project in the Gascoyne region of Western Australia. The Company, through its subsidiary, RWG Minerals Pty Ltd holds tenement applications covering mineral commodities, such as gold-Twin Hills E29/950, tungsten-Ted Well E09/2141, gypsum-Lake MacLeod ELA08/2684 and tungsten/tantalite-Nardoo Well ELA09/2114.",2021-02-12,0.31,0.47,0.05,0.21,0,1812079,0,78.96,8.61,-30.37,0.01,0,0.04,75.9,144.79,-1.62,301.71,43.97,0,0,-504.96,0,-21.55
"283","HMX.AX","Hammer Metals","Hammer Metals Limited is engaged in the exploration and extraction of mineral resources. The Company is focused on the discovery and production of metals. It is focused on the discovery of copper-gold deposits. The Company's segments include Gold exploration, Iron ore exploration, Base Metals exploration and Copper-Gold exploration. The Company operates primarily in the exploration and evaluation phase. Its projects include Mount Isa Region Projects and Mount Morgan Region Projects. The Company holds 2,600 square kilometers tenement position in the center of the Mount Isa Inlier in North West (NW) Queensland. Mount Morgan Region Projects include the Golden Peaks Project, which is situated in coastal central Queensland near the gold and copper mine of Mount Morgan.",2021-02-12,0.09,0,0,0,0,8345276,0,63.76,2.93,-116.06,0,0.44,0.03,46.56,370.05,-2.73,750.09,37.74,0,0,-1103.68,9.4,-12.87
"284","HHM.AX","Hampton Hill Mining NL","Hampton Hill Mining NL is an Australia-based mineral exploration company. The Company's principal activity is base metal exploration. The Company's Millennium Zinc Project is located approximately 35 kilometers southwest of the Telfer gold mine in the East Pilbara of Western Australia. The project area consists of Exploration Licenses 45/2501 and 2561 and the four easterly blocks of Exploration License 45/2500. The Company has approximately 10% interest In the Millennium tenements. The Company holds approximately 5% in gross overriding royalty over various gold production on the Apollo Hill gold project located near Leonora in the Western Australian goldfields. The Company holds various royalty interests.",2021-02-12,0.03,0.03,0.03,0.03,0,0,25,7.37,1.25,-17.25,0.01,1.64,0.02,4.54,88.4,-0.08,294.8,70.07,0,56237.99,-71667.22,-93.5,4.77
"285","HNR.AX","Hannans Ltd","Hannans Ltd, formerly Hannans Reward Limited, is an Australia-based mineral exploration company. The Company is engaged in the exploration and evaluation of minerals in Sweden and Australia. The Company has a portfolio of greenfields exploration projects in the Yilgarn and Pilbara regions of Western Australia. The Company's projects include Pahtohavare Copper-Gold Project, Lapland Project, Queen Victorias Rock Project, Rakkuri (Iron) Project, Lannavaara Iron Project and The Forrestania project. The Company's Forrestania project is located over 120 kilometer (km) to the south of Southern Cross and approximately 80 km east of Hyden in Western Australia. The Forrestania project area is prospective for gold mineralization with various one million-ounce gold deposits existing proximal to the project area. Its subsidiaries include HR Subsidiary Pyt Ltd, HR Forrestania Pyt Ltd, HR Equities Pyt Ltd, Corporate Board Services Pyt Ltd, Critical Metals Ltd and Scandinavian Resources AB.",2021-02-12,0.01,0.02,0,0.01,0,9784479,0,18.88,4,-7.33,0,0,0,15.04,1680,-1.09,2360,49.21,0,0,0,0,-46.66
"286","HAS.AX","Hastings Technology Metals","Hastings Technology Metals Limited, formerly Hastings Rare Metals Limited, is a rare earths company. The Company is engaged in the exploration of natural resources. Its segments include Brockman Project and Yangibana Project. The Brockman Project is centered 18 kilometers south-east of the historical gold mining center of Halls Creek in the East Kimberley Region. The Brockman Project consists of 10 prospecting licenses, and one exploration license, in the East Kimberley region of Western Australia. The project hosts Joint Ore Reserves Committee Code compliant resources of the rare metals zircon, niobium and tantalum, and the heavy rare earth yttrium. The Company has the Yangibana rare earths project in the Gascoyne region of Western Australia through the ownership 100% of 14 tenements and two mining leases and through a joint venture comprising six granted Exploration Licenses and one mining lease. The Yangibana deposit contains Neodymium, Praseodymium, Dysprosium and Europium.",2021-02-12,0.2,0,0,0,0,1994277,0,240.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287","HAV.AX","Havilah Resources Limited","Havilah Resources Limited is engaged in the exploration for gold, copper and other base metals and mineral deposits. The Company controls approximately 8,000 square kilometers of contiguous tenements in the mineralized Curnamona Craton. The Company's segments include Mine Operations, Exploration & Development, and Corporate. The Company's exploration projects include Portia Gold Project, North Portia Copper Gold Project, Kalkaroo Project (Copper-Gold-Molybdenum) and Mutooroo Project. The Portia Gold Project is covered by approximately 70 meters of younger sediments. The North Portia Copper Gold Project is covered by approximately 50 meters of younger sediments, consists of copper and gold metals. The Kalkaroo deposit is formed of replacement style copper-gold-molybdenum mineralization located on the northern faulted portion of a major structural dome. The Mutooroo Project is a sulfide deposit located in South Australia approximately 60 kilometers west of Broken Hill.",2021-02-12,0.2,0.25,0.05,0.18,0,466425,0,68.91,1.55,-15.43,0,0.35,0.14,58.26,173.65,-4.84,306.28,39.95,0,0,-3231.27,-88.3,-12.2
"288","HWK.AX","Hawkstone Mining Limited","Hawkstone Mining Ltd is an Australia-based mineral exploration company. The Company’s projects include Big Sandy Lithium Project, Lordsburg Lithium project, Western Desert Gold / Copper Project, and Lone Pine Gold Project. The Big Sandy lithium project is located on interstate between Phoenix and Las Vegas, comprising of over 331 Bureau of Land Management (BLM) claims in Arizona, covering approximately 25 square kilometers. The Lordsburg Lithium project comprises over 291 BLM claims covering approximately 25 square kilometers and is located in the southwest corner of the state of New Mexico. Western Desert gold/copper exploration project is located in western Utah and has skarn style gold -copper - silver mineralization. Lone Pine Gold project is located approximately 10 kilometers west of Salmon, Idaho and consists of approximately two claims in 16.77 hectors.",2021-02-12,0.04,0.06,0,0.02,0,38438209,0,67.78,0,0,0,0,0,52.23,894.64,-1.77,1610,26.11,0,0,-22143.6,140.1,-280.66
"289","HAW.AX","Hawthorn Resources",NA,2021-02-12,0.09,0.18,0.07,0.13,0,339650,2.96,26.68,0.94,0,0.09,0,0.09,-0.02,92.75,16.79,333.52,72.68,0,23.6,36.87,-98.6,56.05
"290","HZR.AX","Hazer Group Limited","Hazer Group Limited is a specialist commercialization company. The Company is engaged in research and development of graphite and hydrogen production technology. The Company utilizes the Hazer Process on unprocessed iron ore as a low cost catalyst to crack natural gas to produce hydrogen and graphite. The Hazer Process enables the conversion of natural gas, and similar feedstocks, into hydrogen and graphite. The graphite produced by the Hazer Process is (greater than 90% weight (wt)) crystalline synthetic graphite. The Hazer Process can be tailored to create a range of graphite morphologies, enabling the Company to target multiple specialized markets and end user applications. The Hazer Process is developed at the University of Western Australia (UWA).",2021-02-12,1.55,1.89,0.25,0.66,0,1343758,0,202.74,10.57,-59.93,0.13,0.25,0.13,194.69,109.77,-2.21,145.34,20.49,0,-232.04,-234.76,-15.2,-27.05
"291","HLX.AX","Helix Resources","Helix Resources Limited is engaged in gold, iron ore and base metal mineral exploration in Australia and Chile. The Company's projects in Australia include Collerina Copper Zinc Project, Cobar Gold Project, Canbelego Project, Quanda and Five Ways Projects, and Little Boppy Project. Its projects in Chile include Blanco y Negro mine, Huallillinga Project and Joshua project. The Collerina Project is located in the Cobar-Girilambone district in Central New South Wales. The Cobar Gold Project covers an area of approximately 188 square kilometers. The Canbelego Project covers an area of over 40 square kilometers. The Quanda and Five Ways Projects consist of over two exploration licenses. The Little Boppy South Project covers an area of over 100 square kilometers. Huallillinga Project covers an area of approximately 100 square kilometers. The Joshua Project lies over 20 kilometers east-northeast of the township of Monte Patria and over 50 kilometers east of Ovalle.",2021-02-12,0.01,0.02,0,0.01,0,4690920,0,7.94,0.53,-16.24,0,0.68,0.02,7.85,477.65,-2.49,794.12,37.95,0,0,-341.39,1.4,-5.04
"292","HRR.AX","Heron Resources","Heron Resources Limited is engaged in the base and precious metal mineral exploration and development in Australia through sole funded and joint venture activities. The Company's segments include Woodlawn, which consists of tenements related to the Woodlawn Underground Project (WUP), Woodlawn Retreatment Project (WRP) and Woodlawn Exploration Project (WEP); Lewis Ponds, which includes tenements relating to the Lewis Ponds Project; KNP, which includes tenements related to the Kalgoorlie Nickel Project Exploration, and Corporate, which includes corporate activity. It focuses on the development of the Woodlawn Project, which is located approximately 250 kilometers southwest of Sydney in New South Wales. The Kalgoorlie Nickel Project is located north of Kalgoorlie in Western Australia, and holds a range of other base metal and copper-gold exploration properties located in the Lachlan Fold Belt of New South Wales. Its mineral properties are at the exploration and pre-development stage.",2021-02-12,0.06,0.09,0.02,0.05,0,289926,0,25.29,59,-19.77,0.03,0,0,178.54,119.7,-56.67,428.66,39.04,0,0,-132404.13,0,-253.9
"293","HXG.AX","Hexagon Resources","Hexagon Energy Materials Limited, formerly Hexagon Resources Limited, is an exploration company. The Company operates vertically integrated graphite business, which is engaged in supplying high-specification graphite materials to the energy storage sector, sophisticated technology applications and high-end industrial uses from its McIntosh project in Western Australia. The Company holds a 100% interest in the McIntosh Graphite Project in Western Australia and an 80% interest in the Ceylon Graphite Project in Alabama, located in the United States. The Company is primarily focused on the downstream processing of graphite and other energy materials. The Company also holds interest in Halls Creek Project, which is an early stage gold and base metal exploration project located in the east Kimberley region of Western Australia. The Halls Creek Project covers a total area of 651 square kilometers.",2021-02-12,0.08,0.14,0.03,0.06,0,1032285,0,25.9,9.56,-10.71,0,2.34,0.01,25.47,234.01,-1.92,301.2,21.83,0,0,-461,34.1,-60
"294","HGM.AX","High Grade Metals Limited","High Grade Metals Ltd is an Australia-based mineral exploration company. The Company is focused on its portfolio of brownfields gold and cobalt projects located in Austria. Its assets comprise nine exploration areas. Its projects are located across various areas, including Gratlspitz, Leogang, Seekar, Zinkwand, Kreuzeck East, Kreuzeck West, Shellgaden North, Shellgaden South and Goldeck Siflitz.",2021-02-12,0.01,0.01,0.01,0.01,0,0,0,3.92,0,0,0,0,0,3.5,307.08,0,566.17,31.4,0,0,-51.47,0,0
"295","HFR.AX","Highfield Resources","Highfield Resources Limited (Highfield) is an Australia-based company engaged in mineral exploration. The Company has around four potash projects. The Company's Muga, Vipasca, Izaga, Pintanos and Sierra del Perdon potash projects are located in the Ebro potash producing basin in northern Spain covering a project area of over 550 square kilometers. The Muga project targets the shallow sylvinite beds to the south east of the project area. The Muga project is located approximately 50 kilometers to the southeast of Pamplona. The Sierra del Perdon project is located approximately 10 kilometers from Pamplona. The Vipasca project area includes the Vipasca permit, the Borneau permit and the Osquia permit. The Pintanos project covers an area of around 125 square kilometers abutting the Muga-Vipasca project. The Izaga project is located in a syncline structure abutting the northern extent of the expanded Vipasca project.",2021-02-12,0.63,0.78,0.24,0.57,0,73631,0,204.35,1.51,-27.92,0.09,0,0.41,175.59,144.37,-11.55,329.6,56.23,0,0,0,0,-17.4
"296","HGO.AX","Hillgrove Resources","Hillgrove Resources Limited is an Australia-based mining company. The Company is focused on copper production from the Kanmantoo Copper Mine in South Australia. The Kanmantoo Copper Mine is located approximately 50 kilometers from Adelaide in South Australia. The Company also has Indonesian projects, including Bird's Head Project, which is located in north-western West Papua in the Indonesian province of Papua Barat, and the Sumba Project, a gold prospect located on the island of Sumba, west of Timor.",2021-02-12,0.04,0.06,0.03,0.04,0,363524,0,32.79,0.95,-1.49,0.02,0.22,0.04,11.43,229.05,15.52,936.97,37.03,42.86,-32.76,-25.19,-72.9,-63.16
"297","HRN.AX","Horizon Gold Limited","Horizon Gold Limited is an Australia-based gold company. The Company holds interest in Gum Creek Gold Project. The Company's Gum Creek Gold Project is located in approximately 640 kilometers northeast of Perth, Western Australia. The Company's Gum Creek Gold Project has a tenement package of approximately 724 square kilometer covering the Gum Creek Greenstone belt. The Company's Gum Creek Gold Project has approximately 17.3 metric ton at an average grade of approximately 2.25 gram per ton gold for approximately 1.25 million ounces. The Company's Gum Creek Gold Project has 42 mining tenements with resources held on granted mining leases. The Company's Gum Creek Gold Project includes various mineralization types, including Quartz-carbonate-pyrite, which includes Swan, Swift and Kingfisher, and Quartz-pyrite-arsenopyrite, which includes Wilsons, Shiraz and Heron South. The Company's Gum Creek Gold Project holds various deposits, such as Wilsons high-grade deposit and Swift Deposits.",2021-02-12,0.51,0.6,0.16,0.48,0,37975,7.83,41.26,2.28,7.5,0,3.92,0.21,44.85,61.54,-4.23,87.8,78.95,0,15266.67,16930,-66.7,33.97
"298","HRZ.AX","Horizon Minerals Limited","Horizon Minerals Limited, formerly Intermin Resources Limited, is an exploration and development company, which is focused on Australian resource projects. The Company’s projects include Boorara Gold Project, Binduli gold project, Teal project, Baden Powell and Windanya project, Kanowna North gold project, Anthill project, Blister Dam project, and Area 54 and Yarmany. Boorara Gold Project is 10 kilometers (km) east of Kalgoorlie’s Super Pit gold mine located on the eastern edge of the city of Kalgoorlie-Boulder, Western Australia. Binduli gold project area comprises approximately 98.8 square kilometers and is located five to 20 km west of Kalgoorlie-Boulder. Teal project is in approximately 11 km northwest of Kalgoorlie in Western Australia. Kanowna North gold project is located 35 km north of Kalgoorlie. Blister Dam project is located 65 km northwest of Kalgoorlie-Boulder. Anthill project is in 54 km northwest of Kalgoorlie-Boulder in Western Australia.",2021-02-12,0.12,0.18,0.05,0.12,0,970079,55,62.48,1.08,-23.01,0.01,9.51,0.1,54.65,400.38,-8.31,567.97,25.13,0,33.5,-76.3,0,2.33
"299","HOR.AX","Horseshoe Metals","Horseshoe Metals Limited is an Australia-based company, which is engaged in exploration and development, and evaluation of the Horseshoe Lights Project, and exploration of the Kumarina Project. The Company, through its subsidiary, Murchison Copper Mines Pty Ltd, holds interest in the Horseshoe Lights and Kumarina Projects located in the Peak Hill Mineral Field, north of Meekatharra in Western Australia. The Horseshoe Lights Project is located approximately 140 kilometers north of the town of Meekatharra in Western Australia. The Horseshoe Lights Project tenements cover a total of approximately 60 square kilometers in area. The Horseshoe Lights Project includes the closed Horseshoe Lights mine. The Kumarina Project consists of over two exploration licenses and a mining lease covering approximately 430 square kilometers. The Kumarina Project is located over 90 kilometers of sandfire resources NL's DeGrussa copper-gold mine, in the Gascoyne region of Western Australia.",2021-02-12,0.01,0.01,0.01,0.01,0,0,0,2.34,0,-4.48,0,0,-0.01,3.93,117.69,0.22,254.25,48.2,0,0,0,0,0
"300","HCH.AX","Hot Chili","Hot Chili Limited is an Australia-based company that acquires and develops copper multi-commodity projects within Chile. The Company is principally engaged in mineral exploration. The Company's geographical regions include Australia and Chile. The Company's project include Productora copper project. The Productora copper project is located 15 kilometers south of the town of Vallenar, at low altitude, in Chile's Region III. The Company is focused on achieving growth and development at its Productora copper project, and in expanding the Company's project portfolio to ensure future copper production hub.",2021-02-12,0.04,0.06,0.01,0.04,0,8852055,0,113.18,0.8,-43.38,0,3.29,0.05,105.88,1770,-23.24,3060,26.84,0,0,-2965.73,2405.8,-1.12
"301","IGO.AX","IGO Limited","IGO Limited, formerly Independence Group NL, is an Australia-based exploration and mining company. The Company’s segments include The Nova Operation, the Tropicana Operation and Growth, which comprises regional exploration activities and project evaluation. The Nova Operation produces nickel and copper concentrates. The Tropicana Operation represents the Company’s joint venture interest in the Tropicana Gold Mine. The Company is engaged in nickel, copper and cobalt mining and processing at the Nova Operation and non-operator gold mining in the Tropicana Operation. The Nova Operation is located in the Fraser Range, approximately 140 kilometer (km) east-northeast of Norseman, 360km southeast of Kalgoorlie and 380km from the port of Esperance in Western Australia. The Tropicana Operation is located 330km east northeast of Kalgoorlie. The Company’s exploration projects are located in Western Australia, South Australia, the Northern Territory and Greenland.",2021-02-12,6.46,7.76,3.27,5.17,0,3958792,36.87,5081,1.89,9.01,1.75,1.42,3.56,3620,654.27,132.57,757.27,12.58,0.76,12.45,19.15,-2.5,4.8
"302","ILU.AX","Iluka Resources","Iluka Resources Limited is a mineral sands company. The Company’s segments include Jacinth-Ambrosia/Mid West, Cataby/South West, Sierra Rutile, Mining Area C and United States/Murray Basin. The Jacinth-Ambrosia/Mid West segment comprises of the mining operations at Jacinth-Ambrosia located in South Australia, and associated processing operations at the Narngulu mineral separation plant in Western Australia. Cataby/South West segment comprises of mining activities at Cataby and processing of ilmenite at Synthetic Rutile Kiln 2, both located in Western Australia. Sierra Rutile segment comprises of the integrated mineral sands mining and processing operations in Sierra Leone. Mining Area C segment comprises a deferred consideration iron ore royalty interest over certain mining tenements. United States/Murray Basin segment comprises of rehabilitation obligations in the United States and assets located in Australia.",2021-02-12,7.02,10.58,4.88,7.72,0,2392387,0,3023,3.84,3.95,0.36,14.81,1.86,2960,419.52,645.76,422.77,0.43,1.13,-24.51,32.57,-13.2,-32.98
"303","IMA.AX","Image Resources NL",NA,2021-02-12,0.17,0.22,0.12,0.19,0,1280457,6.14,170.65,1.76,2.05,0.04,40.15,0.1,169.23,458.46,24.9,992.14,56.74,0,18.81,33.87,4.9,34.89
"304","IMD.AX","Imdex Limited","Imdex Limited is an Australia-based mining technology company. The Company develops cloud-connected sensors and drilling optimization products to manage the process of identifying and extracting mineral resources for drilling contractors and resource companies globally. Its brands include AMC and REFLEX. The Company’s technologies include downhole instrumentation, data management and analytical software for geological modelling. AMC develops, manufactures and supplies a range of drilling fluids and specialty products. The Company’s solutions include downhole navigation, structural geology, in-field geoanalysis, driller operable geophysics and drilling optimization. The Company’s IMDEXHUB-IQ is a cloud-based Web portal that collects, stores and provides operational data in real-time. Its REFLEX GYRO SPRINT-IQ is a downhole navigation device, which is used to survey boreholes. Downhole survey data collected can be transferred to IMDEXHUB-IQ to be accessed real time.",2021-02-12,1.93,1.98,0.76,1.41,0,843900,46.67,777.05,3.32,13.92,0.15,21.95,0.59,752.85,380.99,50.75,396.45,14.28,0.89,7.15,12.29,-2.7,7.45
